root               , notes                                                                , omega_b , omega_cdm , h      , A_s       , n_s    , alpha_s , N_ur   , N_ncdm , omega_ncdm , w0_fld , wa_fld , sigma8_m , sigma8_cb,Omega_m
abacus_cosm169     ,Emulator grid around baseline cosmology                             ,0.02189,0.1222,0.6474,1.81E-09,0.9898,0.038,1.9109,1,0.0006442,-1,0,0.777925,0.781158,0.1447342
abacus_cosm170     ,Emulator grid around baseline cosmology                             ,0.02319,0.1076,0.6418,1.80E-09,0.9387,-0.026,1.3411,1,0.0006442,-1,0,0.716059,0.719332,0.1314342
abacus_cosm171     ,Emulator grid around baseline cosmology                             ,0.02348,0.1272,0.6733,2.26E-09,0.9762,-0.038,2.1543,1,0.0006442,-1,0,0.852878,0.856267,0.1513242
abacus_cosm172     ,Emulator grid around baseline cosmology                             ,0.02282,0.1032,0.6369,2.13E-09,0.9012,0.017,1.1954,1,0.0006442,-1,0,0.76565,0.769278,0.1266642
abacus_cosm173     ,Emulator grid around baseline cosmology                             ,0.02322,0.1161,0.68,1.89E-09,0.9628,0.038,1.9049,1,0.0006442,-1,0,0.763962,0.767255,0.1399642
abacus_cosm174     ,Emulator grid around baseline cosmology                             ,0.02302,0.1064,0.6427,2.49E-09,0.9437,-0.026,1.3242,1,0.0006442,-1,0,0.840113,0.843996,0.1300642
abacus_cosm175     ,Emulator grid around baseline cosmology                             ,0.02173,0.1336,0.6432,1.74E-09,0.9898,-0.003,2.7456,1,0.0006442,-0.911,0.35,0.70876,0.711484,0.1559742
abacus_cosm176     ,Emulator grid around baseline cosmology                             ,0.02238,0.1199,0.6972,2.31E-09,0.9459,0.036,1.9043,1,0.0006442,-1.222,0.339,0.892483,0.896318,0.1429242
abacus_cosm177     ,Emulator grid around baseline cosmology                             ,0.02239,0.1344,0.682,2.06E-09,1.0002,0.007,2.8643,1,0.0006442,-0.757,-0.443,0.806026,0.80911,0.1574342
abacus_cosm178     ,Emulator grid around baseline cosmology                             ,0.02234,0.1204,0.6542,1.97E-09,0.9424,0.037,1.8987,1,0.0006442,-0.874,-0.455,0.791239,0.794555,0.1433842
abacus_cosm179     ,Emulator grid around baseline cosmology                             ,0.0224,0.1067,0.5881,2.24E-09,0.9308,-0.003,1.1884,1,0.0006442,-0.755,-0.435,0.775969,0.779541,0.1297442
abacus_cosm180     ,Emulator grid around baseline cosmology                             ,0.02258,0.1209,0.7451,2.28E-09,0.9796,-0.034,2.1722,1,0.0006442,-1.108,-0.274,0.894071,0.897833,0.1441242
abacus_cosm181     ,Emulator grid around baseline cosmology                             ,0.02169,0.1112,0.5745,2.07E-09,0.9336,-0.013,1.4059,1,0.0006442,-0.91,0.35,0.730036,0.733292,0.1335342
